X,Y,LABEL,NAME,LAYER,MAP_NAME,ATTR_1,ELEVATION,POINT_SYMB,FONT_SIZE,FONT_COLOR,FONT_CHARS,FONT_WEIGH
-23150.414,-36731.991,0.566,0.566,Unknown Point Feature,Tree_11111.txt,0.566,0,Dot,10,RGB(0;0;0),1,400
-23159.829,-36731.735,0.635,0.635,Unknown Point Feature,Tree_11111.txt,0.635,0,Dot,10,RGB(0;0;0),1,400
-23148.661,-36718.190,0.878,0.878,Unknown Point Feature,Tree_11111.txt,0.878,0,Dot,10,RGB(0;0;0),1,400
-23143.075,-36723.610,0.546,0.546,Unknown Point Feature,Tree_11111.txt,0.546,0,Dot,10,RGB(0;0;0),1,400
-23132.129,-36708.633,0.67,0.67,Unknown Point Feature,Tree_11111.txt,0.67,0,Dot,10,RGB(0;0;0),1,400
-23132.427,-36710.503,0.952,0.952,Unknown Point Feature,Tree_11111.txt,0.952,0,Dot,10,RGB(0;0;0),1,400
-23132.819,-36715.400,0.706,0.706,Unknown Point Feature,Tree_11111.txt,0.706,0,Dot,10,RGB(0;0;0),1,400
-23135.660,-36725.223,0.54,0.54,Unknown Point Feature,Tree_11111.txt,0.54,0,Dot,10,RGB(0;0;0),1,400
-23138.327,-36733.877,0.742,0.742,Unknown Point Feature,Tree_11111.txt,0.742,0,Dot,10,RGB(0;0;0),1,400
-23136.927,-36739.048,0.557,0.557,Unknown Point Feature,Tree_11111.txt,0.557,0,Dot,10,RGB(0;0;0),1,400
-23144.612,-36729.756,0.757,0.757,Unknown Point Feature,Tree_11111.txt,0.757,0,Dot,10,RGB(0;0;0),1,400
-23144.203,-36719.126,0.972,0.972,Unknown Point Feature,Tree_11111.txt,0.972,0,Dot,10,RGB(0;0;0),1,400
-23149.203,-36740.051,0.6,0.6,Unknown Point Feature,Tree_11111.txt,0.6,0,Dot,10,RGB(0;0;0),1,400
-23134.921,-36738.181,0.577,0.577,Unknown Point Feature,Tree_11111.txt,0.577,0,Dot,10,RGB(0;0;0),1,400
-23132.450,-36735.750,0.556,0.556,Unknown Point Feature,Tree_11111.txt,0.556,0,Dot,10,RGB(0;0;0),1,400
-23143.252,-36740.331,0.981,0.981,Unknown Point Feature,Tree_11111.txt,0.981,0,Dot,10,RGB(0;0;0),1,400
-23135.096,-36730.309,0.93,0.93,Unknown Point Feature,Tree_11111.txt,0.93,0,Dot,10,RGB(0;0;0),1,400
-23153.077,-36730.155,0.612,0.612,Unknown Point Feature,Tree_11111.txt,0.612,0,Dot,10,RGB(0;0;0),1,400
-23155.993,-36744.077,0.587,0.587,Unknown Point Feature,Tree_11111.txt,0.587,0,Dot,10,RGB(0;0;0),1,400
-23153.602,-36741.267,0.699,0.699,Unknown Point Feature,Tree_11111.txt,0.699,0,Dot,10,RGB(0;0;0),1,400
-23161.718,-36728.201,0.911,0.911,Unknown Point Feature,Tree_11111.txt,0.911,0,Dot,10,RGB(0;0;0),1,400
-23154.782,-36722.349,0.623,0.623,Unknown Point Feature,Tree_11111.txt,0.623,0,Dot,10,RGB(0;0;0),1,400
-23155.779,-36714.558,0.891,0.891,Unknown Point Feature,Tree_11111.txt,0.891,0,Dot,10,RGB(0;0;0),1,400
-23144.861,-36711.088,0.627,0.627,Unknown Point Feature,Tree_11111.txt,0.627,0,Dot,10,RGB(0;0;0),1,400
-23152.230,-36713.193,0.885,0.885,Unknown Point Feature,Tree_11111.txt,0.885,0,Dot,10,RGB(0;0;0),1,400
-23131.058,-36743.665,0.613,0.613,Unknown Point Feature,Tree_11111.txt,0.613,0,Dot,10,RGB(0;0;0),1,400
-23160.888,-36738.462,0.832,0.832,Unknown Point Feature,Tree_11111.txt,0.832,0,Dot,10,RGB(0;0;0),1,400
-23145.802,-36715.246,0.709,0.709,Unknown Point Feature,Tree_11111.txt,0.709,0,Dot,10,RGB(0;0;0),1,400
-23138.984,-36718.235,0.666,0.666,Unknown Point Feature,Tree_11111.txt,0.666,0,Dot,10,RGB(0;0;0),1,400
-23133.665,-36719.578,0.826,0.826,Unknown Point Feature,Tree_11111.txt,0.826,0,Dot,10,RGB(0;0;0),1,400
-23152.068,-36742.768,0.488,0.488,Unknown Point Feature,Tree_11111.txt,0.488,0,Dot,10,RGB(0;0;0),1,400
-23148.631,-36721.676,0.325,0.325,Unknown Point Feature,Tree_11111.txt,0.325,0,Dot,10,RGB(0;0;0),1,400
-23148.125,-36712.350,0.448,0.448,Unknown Point Feature,Tree_11111.txt,0.448,0,Dot,10,RGB(0;0;0),1,400
-23159.854,-36720.538,0.62,0.62,Unknown Point Feature,Tree_11111.txt,0.62,0,Dot,10,RGB(0;0;0),1,400
